2026-01-14 19:12:37,787 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:12:37,792 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:37,806 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:12:37,828 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:37,830 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:37,831 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:37,836 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:12:37,838 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:37,860 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:37,865 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:37,886 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:12:37,913 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:37,917 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:37,941 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:37,963 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:12:37,967 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:37,971 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:37,984 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:12:37,996 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:12:38,013 | INFO | services.invoice_ingest.pfs_importer | Starting invoice import
2026-01-14 19:12:38,015 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,582 | INFO | services.invoice_ingest.usfoods_importer | Starting invoice import
2026-01-14 19:23:40,600 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,600 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,601 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,601 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,601 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,601 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,602 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
